,population,lat,NDVI,PRI,ExGm,GRVI,ARI,RGR,NDVI_sd,PRI_sd,ExGm_sd,GRVI_sd,ARI_sd,RGR_sd
16,CI,30.70123,0.362736052,-0.14554258,-2.470683162,-0.48679435,0.403245876,2.290285824,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
17,DS,39.026,0.654871546,-0.26349006,0.854800809,-0.334754575,0.200465564,1.594511702,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
18,DS,39.026,0.58794422,-0.287553648,0.319898848,-0.349037256,0.236842795,1.62346189,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
19,DS,39.026,0.660139339,-0.275624631,0.999797697,-0.322532769,0.172361327,1.554384648,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
20,DS,39.026,0.626730352,-0.266850895,-0.79570028,-0.436711277,0.355842631,1.913409385,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
21,DS,39.026,0.647893924,-0.374534624,-0.22186897,-0.436646359,0.374153613,1.841800978,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
22,DS,39.026,0.516659857,-0.102027027,-1.853145036,-0.482085032,0.497798807,2.233256493,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
23,DS,39.026,0.50709125,-0.212121212,-0.298039216,-0.44525327,0.42480482,1.953839333,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
24,DS,39.026,0.660130719,-0.283771985,-0.029176782,-0.411614916,0.358429844,1.796153454,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
25,FB,44.99013,0.4462393,-0.178409559,-1.572875817,-0.490375624,0.380759191,2.219821731,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
26,FB,44.99013,0.390645752,-0.149433892,-1.671498599,-0.363163608,0.230532091,1.796122184,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
27,FB,44.99013,0.446711339,-0.145496536,-1.156159353,-0.388433307,0.283616754,1.860977944,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
28,FB,44.99013,0.466299658,-0.145673604,-0.792525677,-0.33038388,0.225362823,1.682608424,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
