population,Latitude,NDVI,PRI,ExGm,GRVI,ARI,RGR
SCH11,54.7298,0.542246501,-0.099232043,-2.94720666,-0.561828054,0.478233607,2.566605622
SCH11,54.7298,0.539795403,-0.126403921,-2.565203859,-0.642013953,0.673399707,2.988709527
SCH11,54.7298,0.609488048,-0.176470588,-2.607656396,-0.635324286,0.655108847,2.904735055
SCH11,54.7298,0.489169912,-0.120894984,-3.850885465,-0.708219042,0.578856875,3.43753717
SCH11,54.7298,0.493782976,-0.080530071,-3.310482415,-0.647143431,0.524451379,3.030906205
SI,50.20261,0.455408444,-0.126188966,-2.201212263,-0.570307708,0.637167451,2.656787441
SI,50.20261,0.608716707,-0.271389144,-0.838017429,-0.462034085,0.452328125,2.010956421
SI,50.20261,0.502335481,-0.127217435,-2.971448802,-0.608851357,0.547205068,2.836206174
SI,50.20261,0.525325184,-0.138903672,-2.040280112,-0.526125472,0.543635456,2.402881099
SI,50.20261,0.488867684,-0.132923617,-3.551479925,-0.659853594,0.569663297,3.163685947
SI,50.20261,0.605717468,-0.117462967,-0.292723312,-0.311242708,0.520700483,1.634525994
SI,50.20261,0.56126459,-0.122052705,-1.328663243,-0.450613517,0.506921457,2.064958422
SI,50.20261,0.555494817,-0.109807209,-1.837507003,-0.637033192,0.879233069,2.991701653
