pop,lat,PPFD,FvFmprime,qP,qL,qN,NPQ,phiPSII,phiNPQ,phiNO,JETR,JNPQ,JNO,Jtot,phiNO_new,FvFmprime_mean,FvFm_mean
CB,32.284182,1012.9525,0.372896047,0.467920805,0.383792457,0.746757829,0.708883058,0.177403871,0.309292538,0.513303591,167.5280094,292.0745918,484.7285931,944.3311943,0.479899928,0.372896047,0.49327195
CB,32.284182,1154.0415,0.374450631,0.451573964,0.36795013,0.739210728,0.706495244,0.171837145,0.309413517,0.518749338,184.8731029,332.8863324,558.1028465,1075.862282,0.483936911,0.374450631,0.494032949
CB,32.284182,1295.1305,0.37609294,0.450031806,0.365944483,0.736897063,0.706594064,0.171215536,0.308482821,0.520301643,206.7245029,372.4601126,628.2087538,1207.393369,0.483959647,0.37609294,0.495802148
CB,32.284182,1436.2195,0.377778332,0.418132688,0.335808206,0.719510741,0.6846693,0.159628661,0.305968607,0.534402731,213.7307182,409.6688509,715.5248863,1338.924455,0.496849153,0.377778332,0.494133217
CB,32.284182,95.874,0.512410694,0.839412035,0.744226857,0.345087789,0.266047754,0.432022568,0.11389435,0.454083082,38.61379945,10.17977744,40.58554891,89.3791258,0.447147715,0.512410694,0.567935692
CB,32.284182,166.4185,0.486265373,0.791315943,0.691321093,0.47345264,0.401199612,0.387054631,0.167539259,0.44540611,60.04946282,25.99282297,69.10238374,155.1446695,0.434800641,0.486265373,0.565712831
CB,32.284182,236.963,0.458633888,0.739751064,0.638102971,0.596134421,0.560022781,0.342467849,0.224675513,0.432856638,75.65464556,49.63311549,95.62245221,220.9102133,0.419052981,0.458633888,0.563136572
CB,32.284182,307.5075,0.440808386,0.691736214,0.589395297,0.674339174,0.69090691,0.308732249,0.268424671,0.42284308,88.50605119,76.95084576,121.2188601,286.675757,0.406961111,0.440808386,0.563717093
CB,32.284182,378.052,0.428878589,0.646070803,0.543273902,0.719382832,0.780465814,0.280686155,0.297418908,0.421894936,98.92539357,104.8227068,148.6932,352.4413004,0.401663394,0.428878589,0.563000571
CB,32.284182,448.5965,0.42204658,0.614141738,0.513306519,0.746953804,0.84155825,0.262969757,0.317404893,0.41962535,109.9757523,132.7408987,175.4901935,418.2068445,0.397864035,0.42204658,0.563783104
CB,32.284182,519.141,0.413195725,0.577704998,0.479663821,0.777264108,0.905644304,0.242779358,0.339128979,0.418091663,117.4985057,164.1290619,202.3448206,483.9723882,0.394524835,0.413195725,0.562534858
CB,32.284182,589.6855,0.411335116,0.5563855,0.459186388,0.787138881,0.930847489,0.232647929,0.347857886,0.419494185,127.8953914,191.2306749,230.6118657,549.7379319,0.394625808,0.411335116,0.563522825
CB,32.284182,660.23,0.411205135,0.526027537,0.429270654,0.7829389,0.930279746,0.220306298,0.351743191,0.427950511,135.5992921,216.4991566,263.4050269,615.5034757,0.400957355,0.411205135,0.562765681
CB,32.284182,730.7745,0.410297711,0.513422495,0.418032349,0.787007489,0.941549659,0.214251343,0.356769777,0.42897888,145.9628024,243.0561961,292.2500209,681.2690194,0.401359807,0.410297711,0.563174534
CB,32.284182,871.8635,0.409169359,0.491576035,0.39610076,0.789893669,0.950602295,0.204476726,0.361564924,0.43395835,166.1987047,293.8800089,352.7213933,812.8001069,0.40476654,0.409169359,0.562749588
CB,32.284182,1012.9525,0.410427388,0.480974846,0.386104775,0.782915817,0.944956155,0.200521923,0.361153427,0.43832465,189.359107,341.0484471,413.9236402,944.3311943,0.407840031,0.410427388,0.562797922
CB,32.284182,1154.0415,0.411832715,0.456745059,0.363356163,0.774911272,0.924310238,0.1906226,0.360587933,0.448789467,205.0836654,387.9429564,482.83566,1075.862282,0.416705035,0.411832715,0.561817789
CB,32.284182,1295.1305,0.411679455,0.458284382,0.364548248,0.77462084,0.927204403,0.191187209,0.359984354,0.448828437,230.8381684,434.6427221,541.9124788,1207.393369,0.415953119,0.411679455,0.561748675
CB,32.284182,1436.2195,0.413828522,0.441959591,0.348288339,0.762327097,0.908814269,0.184611493,0.356663975,0.458724532,247.180843,477.546119,614.1974948,1338.924457,0.423103486,0.413828522,0.561064276
CB,32.284182,95.874,0.456251106,0.801934846,0.716905321,0.315120032,0.204002176,0.369695242,0.101666948,0.528637811,33.04303754,9.086902935,47.24918541,89.37912589,0.516834006,0.456251106,0.500110361
CB,32.284182,166.4185,0.439801073,0.771444367,0.682551191,0.412284206,0.282022105,0.342727161,0.137086014,0.520186825,53.17229213,21.26816434,80.70421306,155.1446695,0.503712439,0.439801073,0.498628487
CB,32.284182,236.963,0.421674527,0.73621865,0.6454623,0.519002555,0.381882685,0.313426779,0.179486821,0.5070864,69.23917659,39.65047191,112.0205648,220.9102133,0.488511392,0.421674527,0.497923993
CB,32.284182,307.5075,0.406938334,0.698104855,0.606838466,0.595670619,0.47291299,0.287019659,0.215067615,0.497912726,82.28157802,61.65467134,142.7395076,286.675757,0.476310954,0.406938334,0.497461529
CB,32.284182,378.052,0.395506931,0.650444171,0.558640699,0.653550325,0.542857775,0.260361369,0.244258698,0.495379933,91.76209955,86.08685324,174.5923479,352.4413007,0.472130577,0.395506931,0.496311179
CB,32.284182,448.5965,0.388684797,0.606251027,0.51533726,0.696136024,0.604256866,0.238662007,0.269131206,0.492206788,99.81008484,112.5525124,205.8442476,418.2068449,0.467777368,0.388684797,0.49815545
CB,32.284182,519.141,0.378867192,0.587566069,0.499928096,0.737877772,0.665143193,0.225422025,0.289282904,0.485295071,109.0980358,140.0049379,234.8694145,483.9723882,0.458311218,0.378867192,0.496195785
CB,32.284182,589.6855,0.37834352,0.561337652,0.473414074,0.744114642,0.680069598,0.215252968,0.296854412,0.48789262,118.3327215,163.1921305,268.2130799,549.7379319,0.460581809,0.37834352,0.497570257
CB,32.284182,660.23,0.374729739,0.526923619,0.441616603,0.756150339,0.696947747,0.200290575,0.306412577,0.493296849,123.2795451,188.5980061,303.6259251,615.5034763,0.464278545,0.374729739,0.495882224
