Taxa,NDVI,PRI,ExGm,GRVI,ARI,RGR,NDVI_sd,PRI_sd,ExGm_sd,GRVI_sd,ARI_sd,RGR_sd
Sphagnum,0.335553151,-0.139804096,-3.15562714,-0.650377034,0.709086178,3.20721843,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.40652819,-0.076124567,-0.675885465,-0.255044881,0.151236801,1.506517883,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.388141844,-0.12137311,-2.354887955,-0.492170538,0.382525582,2.303482234,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.576066336,-0.12228057,-3.256674448,-0.68838058,0.587976649,3.259953365,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.583189559,-0.091779034,-2.653851541,-0.650101358,0.675248571,3.009930014,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.551077333,-0.135636057,-2.410076253,-0.635181335,0.65186141,2.957395723,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.542246501,-0.099232043,-2.94720666,-0.561828054,0.478233607,2.566605622,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.539795403,-0.126403921,-2.565203859,-0.642013953,0.673399707,2.988709527,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.609488048,-0.176470588,-2.607656396,-0.635324286,0.655108847,2.904735055,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.489169912,-0.120894984,-3.850885465,-0.708219042,0.578856875,3.43753717,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.493782976,-0.080530071,-3.310482415,-0.647143431,0.524451379,3.030906205,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.455408444,-0.126188966,-2.201212263,-0.570307708,0.637167451,2.656787441,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.608716707,-0.271389144,-0.838017429,-0.462034085,0.452328125,2.010956421,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.502335481,-0.127217435,-2.971448802,-0.608851357,0.547205068,2.836206174,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.525325184,-0.138903672,-2.040280112,-0.526125472,0.543635456,2.402881099,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.488867684,-0.132923617,-3.551479925,-0.659853594,0.569663297,3.163685947,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
